,app_id,attemptId,completionTime-0,completionTime-1,completionTime-2,inputBytes-0,inputBytes-1,inputBytes-2,numActiveTasks,numCompleteTasks,numFailedTasks,shuffleReadBytes-0,shuffleReadBytes-1,shuffleReadBytes-2,shuffleWriteBytes-0,shuffleWriteBytes-1,shuffleWriteBytes-2,stageId,status
46,app-20170602064015-0185,0,6.117,,,48846488.0,,,0,2,0,0.0,,,34767956.0,,,0,COMPLETE
47,app-20170602064015-0185,0,,4.995,,,2855193.0,,0,2,0,,0.0,,,2110997.0,,1,COMPLETE
48,app-20170603060551-0761,0,,4.421,,,3336.0,,0,2,0,,0.0,,,3990.0,,1,COMPLETE
49,app-20170606042848-0055,0,,,43.745,,,0.0,0,200,0,,,650603052.0,,,0.0,2,COMPLETE
50,app-20170606102152-0295,0,,,8.404,,,0.0,0,200,0,,,69483577.0,,,0.0,2,COMPLETE
51,app-20170606102152-0295,0,,3.28,,,3336.0,,0,2,0,,0.0,,,3990.0,,1,COMPLETE
52,app-20170606102152-0295,0,5.902,,,97731955.0,,,0,2,0,0.0,,,69479587.0,,,0,COMPLETE
53,app-20170602054435-0145,0,,,14.859,,,0.0,0,200,0,,,161060994.0,,,0.0,2,COMPLETE
54,app-20170602054435-0145,0,,5.878,,,48438588.0,,0,2,0,,0.0,,,35069406.0,,1,COMPLETE
55,app-20170602054435-0145,0,11.327,,,239192537.0,,,0,2,0,0.0,,,125991588.0,,,0,COMPLETE
56,app-20170603003107-0483,0,3.727,,,24362768.0,,,0,2,0,0.0,,,18810337.0,,,0,COMPLETE
57,app-20170606003819-1213,0,,,118.029,,,0.0,0,200,0,,,2729124177.0,,,0.0,2,COMPLETE
58,app-20170606003819-1213,0,18.895,,,695743150.0,,,0,6,0,0.0,,,442926009.0,,,0,COMPLETE
59,app-20170606003819-1213,0,,90.789,,,3087316780.0,,0,23,0,,0.0,,,2286198168.0,,1,COMPLETE
60,app-20170605204107-1068,0,,,75.562,,,0.0,0,200,0,,,1308920390.0,,,0.0,2,COMPLETE
61,app-20170609111317-0347,0,,3.301,,,5718582.0,,0,2,0,,0.0,,,4201380.0,,1,COMPLETE
62,app-20170605204107-1068,0,11.87,,,239192537.0,,,0,2,0,0.0,,,127737658.0,,,0,COMPLETE
